id	description	year	month	day	country__autocolor	latitude	longitude
189	Blood	2014	06	02	NA	NA	NA
196	Stool	2014	05	26	NA	NA	NA
316	Raw milk	2014	05	27	NA	NA	NA
363	Raw milk	2014	05	29	NA	NA	NA
*320	Stool	2014	05	30	NA	NA	NA

